"Date","StartTime","EndTime","ActivityID","FacilityID"
2017-10-07,"8:00 PM","8:50 PM",3,1
2017-10-14,"8:00 PM","8:50 PM",3,1
2017-10-21,"8:00 PM","8:50 PM",3,1
2017-10-28,"8:00 PM","8:50 PM",3,1
2017-11-04,"8:00 PM","8:50 PM",3,1
2017-11-11,"8:00 PM","8:50 PM",3,1
2017-11-25,"8:00 PM","8:50 PM",3,1
2017-12-02,"8:00 PM","8:50 PM",3,1
2017-12-09,"8:00 PM","8:50 PM",3,1
2017-12-16,"8:00 PM","8:50 PM",3,1
2017-12-23,"8:00 PM","8:50 PM",3,1
2017-12-30,"8:00 PM","8:50 PM",3,1
2017-10-07,"9:00 PM","9:50 PM",4,1
2017-10-08,"2:00 PM","3:50 PM",4,1
2017-10-14,"9:00 PM","9:50 PM",4,1
2017-10-15,"2:00 PM","3:50 PM",4,1
2017-10-21,"9:00 PM","9:50 PM",4,1
2017-10-22,"2:00 PM","3:50 PM",4,1
2017-10-28,"9:00 PM","9:50 PM",4,1
2017-10-29,"2:00 PM","3:50 PM",4,1
2017-11-04,"9:00 PM","9:50 PM",4,1
2017-11-05,"2:00 PM","3:50 PM",4,1
2017-11-11,"9:00 PM","9:50 PM",4,1
2017-11-12,"2:00 PM","3:50 PM",4,1
2017-11-19,"2:00 PM","3:50 PM",4,1
2017-11-25,"9:00 PM","9:50 PM",4,1
2017-11-26,"2:00 PM","3:50 PM",4,1
2017-12-02,"9:00 PM","9:50 PM",4,1
2017-12-03,"2:00 PM","3:50 PM",4,1
2017-12-09,"9:00 PM","9:50 PM",4,1
2017-12-10,"2:00 PM","3:50 PM",4,1
2017-12-16,"9:00 PM","9:50 PM",4,1
2017-12-17,"2:00 PM","3:50 PM",4,1
2017-12-23,"9:00 PM","9:50 PM",4,1
2017-12-24,"2:00 PM","3:50 PM",4,1
2017-12-30,"9:00 PM","9:50 PM",4,1
2017-11-05,"2:00 PM","2:50 PM",3,2
2017-11-12,"2:00 PM","2:50 PM",3,2
2017-11-19,"2:00 PM","2:50 PM",3,2
2017-11-26,"2:00 PM","2:50 PM",3,2
2017-12-03,"2:00 PM","2:50 PM",3,2
2017-12-10,"2:00 PM","2:50 PM",3,2
2017-12-17,"2:00 PM","2:50 PM",3,2
2017-11-02,"5:00 PM","5:50 PM",11,2
2017-11-09,"5:00 PM","5:50 PM",11,2
2017-11-16,"5:00 PM","5:50 PM",11,2
2017-11-23,"5:00 PM","5:50 PM",11,2
2017-11-30,"5:00 PM","5:50 PM",11,2
2017-12-07,"5:00 PM","5:50 PM",11,2
2017-12-14,"5:00 PM","5:50 PM",11,2
2017-12-21,"5:00 PM","5:50 PM",11,2
2017-11-02,"10:00 PM","10:50 PM",6,2
2017-11-03,"5:00 PM","5:50 PM",6,2
2017-11-04,"9:00 PM","9:50 PM",6,2
2017-11-09,"10:00 PM","10:50 PM",6,2
2017-11-10,"5:00 PM","5:50 PM",6,2
2017-11-11,"9:00 PM","9:50 PM",6,2
2017-11-16,"10:00 PM","10:50 PM",6,2
2017-11-17,"5:00 PM","5:50 PM",6,2
2017-11-18,"9:00 PM","9:50 PM",6,2
2017-11-23,"10:00 PM","10:50 PM",6,2
2017-11-24,"5:00 PM","5:50 PM",6,2
2017-11-25,"9:00 PM","9:50 PM",6,2
2017-11-30,"10:00 PM","10:50 PM",6,2
2017-12-01,"5:00 PM","5:50 PM",6,2
2017-12-02,"9:00 PM","9:50 PM",6,2
2017-12-07,"10:00 PM","10:50 PM",6,2
2017-12-08,"5:00 PM","5:50 PM",6,2
2017-12-09,"9:00 PM","9:50 PM",6,2
2017-12-14,"10:00 PM","10:50 PM",6,2
2017-12-15,"5:00 PM","5:50 PM",6,2
2017-12-16,"9:00 PM","9:50 PM",6,2
2017-12-21,"10:00 PM","10:50 PM",6,2
2017-12-22,"5:00 PM","5:50 PM",6,2
