ID,Arena,Day,StartDate,EndDate,StartTime,EndTime,SessionType,Comments,Special,LocationMap
1,Y-Clarence Rockland,Monday,2015-01-05,2015-03-29,6:00,9:00,Lane Swim,,,
1,Y-Clarence Rockland,Monday,2015-01-05,2015-03-29,12:00,13:30,Lane Swim,,,
1,Y-Clarence Rockland,Monday,2015-01-05,2015-03-29,15:30,17:00,Lane Swim,,,
1,Y-Clarence Rockland,Monday,2015-01-05,2015-03-29,20:30,21:45,Lane Swim,,,
1,Y-Clarence Rockland,Tuesday,2015-01-05,2015-03-29,6:00,8:00,Lane Swim,,,
,Y-Clarence Rockland,Tuesday,2015-01-05,2015-03-29,8:00,9:00,Lane Swim,,,
1,Y-Clarence Rockland,Tuesday,2015-01-05,2015-03-29,11:00,13:30,Lane Swim,,,
1,Y-Clarence Rockland,Tuesday,2015-01-05,2015-03-29,15:30,18:00,Lane Swim,,,
1,Y-Clarence Rockland,Tuesday,2015-01-05,2015-03-29,21:00,21:45,Lane Swim,,,
1,Y-Clarence Rockland,Wednesday,2015-01-05,2015-03-29,6:00,9:00,Lane Swim,,,
1,Y-Clarence Rockland,Wednesday,2015-01-05,2015-03-29,11:00,13:30,Lane Swim,,,
1,Y-Clarence Rockland,Wednesday,2015-01-05,2015-03-29,15:30,17:00,Lane Swim,,,
1,Y-Clarence Rockland,Wednesday,2015-01-05,2015-03-29,20:30,21:45,Lane Swim,,,
1,Y-Clarence Rockland,Thursday,2015-01-05,2015-03-29,6:00,9:00,Lane Swim,,,
1,Y-Clarence Rockland,Thursday,2015-01-05,2015-03-29,11:00,13:30,Lane Swim,,,
1,Y-Clarence Rockland,Thursday,2015-01-05,2015-03-29,15:30,18:00,Lane Swim,,,
1,Y-Clarence Rockland,Thursday,2015-01-05,2015-03-29,21:00,21:45,Lane Swim,,,
1,Y-Clarence Rockland,Friday,2015-01-05,2015-03-29,6:00,9:00,Lane Swim,,,
1,Y-Clarence Rockland,Friday,2015-01-05,2015-03-29,11:00,13:30,Lane Swim,,,
1,Y-Clarence Rockland,Friday,2015-01-05,2015-03-29,15:30,19:00,Lane Swim,,,
1,Y-Clarence Rockland,Friday,2015-01-05,2015-03-29,20:00,21:00,Lane Swim,,,
1,Y-Clarence Rockland,Saturday,2015-01-05,2015-03-29,8:00,9:00,Lane Swim,,,
1,Y-Clarence Rockland,Saturday,2015-01-05,2015-03-29,16:30,17:30,Lane Swim,,,
1,Y-Clarence Rockland,Sunday,2015-01-05,2015-03-29,16:30,17:30,Lane Swim,,,
1,Y-Clarence Rockland,Monday,2015-01-05,2015-03-29,15:30,17:00,Public Swim,,,
1,Y-Clarence Rockland,Tuesday,2015-01-05,2015-03-29,15:30,18:00,Public Swim,,,
1,Y-Clarence Rockland,Wednesday,2015-01-05,2015-03-29,15:30,17:00,Public Swim,,,
