"","Date","Day","Latitude","Longitude","StartDateTime","EndDateTime"
"1",2014-10-01,"Wednesday",45.378163,-75.75213,2014-10-01 08:00:00,2014-10-01 17:00:00
"2",2014-10-02,"Thursday",45.378163,-75.75213,2014-10-02 08:00:00,2014-10-02 17:00:00
"3",2014-10-03,"Friday",45.378163,-75.75213,2014-10-03 08:00:00,2014-10-03 17:00:00
"4",2014-10-04,"Saturday",45.378163,-75.75213,2014-10-04 08:00:00,2014-10-04 17:00:00
"5",2014-10-05,"Sunday",45.378163,-75.75213,2014-10-05 08:00:00,2014-10-05 17:00:00
"6",2014-10-06,"Monday",45.378163,-75.75213,2014-10-06 08:00:00,2014-10-06 17:00:00
"7",2014-10-07,"Tuesday",45.378163,-75.75213,2014-10-07 08:00:00,2014-10-07 17:00:00
"8",2014-10-08,"Wednesday",45.378163,-75.75213,2014-10-08 08:00:00,2014-10-08 17:00:00
"9",2014-10-09,"Thursday",45.378163,-75.75213,2014-10-09 08:00:00,2014-10-09 17:00:00
"10",2014-10-10,"Friday",45.378163,-75.75213,2014-10-10 08:00:00,2014-10-10 17:00:00
"11",2014-10-11,"Saturday",45.378163,-75.75213,2014-10-11 08:00:00,2014-10-11 17:00:00
"12",2014-10-12,"Sunday",45.378163,-75.75213,2014-10-12 08:00:00,2014-10-12 17:00:00
"13",2014-10-13,"Monday",45.378163,-75.75213,2014-10-13 08:00:00,2014-10-13 17:00:00
"14",2014-10-14,"Tuesday",45.378163,-75.75213,2014-10-14 08:00:00,2014-10-14 17:00:00
"15",2014-10-15,"Wednesday",45.378163,-75.75213,2014-10-15 08:00:00,2014-10-15 17:00:00
"16",2014-10-16,"Thursday",45.378163,-75.75213,2014-10-16 08:00:00,2014-10-16 17:00:00
"17",2014-10-17,"Friday",45.378163,-75.75213,2014-10-17 08:00:00,2014-10-17 17:00:00
"18",2014-10-18,"Saturday",45.378163,-75.75213,2014-10-18 08:00:00,2014-10-18 17:00:00
"19",2014-10-19,"Sunday",45.378163,-75.75213,2014-10-19 08:00:00,2014-10-19 17:00:00
"20",2014-10-20,"Monday",45.378163,-75.75213,2014-10-20 08:00:00,2014-10-20 17:00:00
"21",2014-10-21,"Tuesday",45.378163,-75.75213,2014-10-21 08:00:00,2014-10-21 17:00:00
"22",2014-10-22,"Wednesday",45.378163,-75.75213,2014-10-22 08:00:00,2014-10-22 17:00:00
"23",2014-10-23,"Thursday",45.378163,-75.75213,2014-10-23 08:00:00,2014-10-23 17:00:00
"24",2014-10-24,"Friday",45.378163,-75.75213,2014-10-24 08:00:00,2014-10-24 17:00:00
"25",2014-10-25,"Saturday",45.378163,-75.75213,2014-10-25 08:00:00,2014-10-25 17:00:00
"26",2014-10-26,"Sunday",45.378163,-75.75213,2014-10-26 08:00:00,2014-10-26 17:00:00
"27",2014-10-27,"Monday",45.378163,-75.75213,2014-10-27 08:00:00,2014-10-27 17:00:00
"28",2014-10-28,"Tuesday",45.378163,-75.75213,2014-10-28 08:00:00,2014-10-28 17:00:00
"29",2014-10-29,"Wednesday",45.378163,-75.75213,2014-10-29 08:00:00,2014-10-29 17:00:00
"30",2014-10-30,"Thursday",45.378163,-75.75213,2014-10-30 08:00:00,2014-10-30 17:00:00
"31",2014-10-31,"Friday",45.378163,-75.75213,2014-10-31 08:00:00,2014-10-31 17:00:00
"32",2014-11-01,"Saturday",45.378163,-75.75213,2014-11-01 08:00:00,2014-11-01 17:00:00
"33",2014-11-02,"Sunday",45.378163,-75.75213,2014-11-02 08:00:00,2014-11-02 17:00:00
"34",2014-11-03,"Monday",45.378163,-75.75213,2014-11-03 08:00:00,2014-11-03 17:00:00
"35",2014-11-04,"Tuesday",45.378163,-75.75213,2014-11-04 08:00:00,2014-11-04 17:00:00
"36",2014-11-05,"Wednesday",45.378163,-75.75213,2014-11-05 08:00:00,2014-11-05 17:00:00
"37",2014-11-06,"Thursday",45.378163,-75.75213,2014-11-06 08:00:00,2014-11-06 17:00:00
"38",2014-11-07,"Friday",45.378163,-75.75213,2014-11-07 08:00:00,2014-11-07 17:00:00
"39",2014-11-08,"Saturday",45.378163,-75.75213,2014-11-08 08:00:00,2014-11-08 17:00:00
"40",2014-11-09,"Sunday",45.378163,-75.75213,2014-11-09 08:00:00,2014-11-09 17:00:00
"41",2014-11-10,"Monday",45.378163,-75.75213,2014-11-10 08:00:00,2014-11-10 17:00:00
"42",2014-11-11,"Tuesday",45.378163,-75.75213,2014-11-11 08:00:00,2014-11-11 17:00:00
"43",2014-11-12,"Wednesday",45.378163,-75.75213,2014-11-12 08:00:00,2014-11-12 17:00:00
"44",2014-11-13,"Thursday",45.378163,-75.75213,2014-11-13 08:00:00,2014-11-13 17:00:00
"45",2014-11-14,"Friday",45.378163,-75.75213,2014-11-14 08:00:00,2014-11-14 17:00:00
"46",2014-11-15,"Saturday",45.378163,-75.75213,2014-11-15 08:00:00,2014-11-15 17:00:00
"47",2014-11-16,"Sunday",45.378163,-75.75213,2014-11-16 08:00:00,2014-11-16 17:00:00
"48",2014-11-17,"Monday",45.378163,-75.75213,2014-11-17 08:00:00,2014-11-17 17:00:00
"49",2014-11-18,"Tuesday",45.378163,-75.75213,2014-11-18 08:00:00,2014-11-18 17:00:00
"50",2014-11-19,"Wednesday",45.378163,-75.75213,2014-11-19 08:00:00,2014-11-19 17:00:00
"51",2014-11-20,"Thursday",45.378163,-75.75213,2014-11-20 08:00:00,2014-11-20 17:00:00
"52",2014-11-21,"Friday",45.378163,-75.75213,2014-11-21 08:00:00,2014-11-21 17:00:00
"53",2014-11-22,"Saturday",45.378163,-75.75213,2014-11-22 08:00:00,2014-11-22 17:00:00
"54",2014-11-23,"Sunday",45.378163,-75.75213,2014-11-23 08:00:00,2014-11-23 17:00:00
"55",2014-11-24,"Monday",45.378163,-75.75213,2014-11-24 08:00:00,2014-11-24 17:00:00
"56",2014-11-25,"Tuesday",45.378163,-75.75213,2014-11-25 08:00:00,2014-11-25 17:00:00
"57",2014-11-26,"Wednesday",45.378163,-75.75213,2014-11-26 08:00:00,2014-11-26 17:00:00
"58",2014-11-27,"Thursday",45.378163,-75.75213,2014-11-27 08:00:00,2014-11-27 17:00:00
"59",2014-11-28,"Friday",45.378163,-75.75213,2014-11-28 08:00:00,2014-11-28 17:00:00
"60",2014-11-29,"Saturday",45.378163,-75.75213,2014-11-29 08:00:00,2014-11-29 17:00:00
"61",2014-11-30,"Sunday",45.378163,-75.75213,2014-11-30 08:00:00,2014-11-30 17:00:00
"62",2014-12-01,"Monday",45.378163,-75.75213,2014-12-01 08:00:00,2014-12-01 17:00:00
"63",2014-12-02,"Tuesday",45.378163,-75.75213,2014-12-02 08:00:00,2014-12-02 17:00:00
"64",2014-12-03,"Wednesday",45.378163,-75.75213,2014-12-03 08:00:00,2014-12-03 17:00:00
"65",2014-12-04,"Thursday",45.378163,-75.75213,2014-12-04 08:00:00,2014-12-04 17:00:00
"66",2014-12-05,"Friday",45.378163,-75.75213,2014-12-05 08:00:00,2014-12-05 17:00:00
"67",2014-12-06,"Saturday",45.378163,-75.75213,2014-12-06 08:00:00,2014-12-06 17:00:00
"68",2014-12-07,"Sunday",45.378163,-75.75213,2014-12-07 08:00:00,2014-12-07 17:00:00
"69",2014-12-08,"Monday",45.378163,-75.75213,2014-12-08 08:00:00,2014-12-08 17:00:00
"70",2014-12-09,"Tuesday",45.378163,-75.75213,2014-12-09 08:00:00,2014-12-09 17:00:00
"71",2014-12-10,"Wednesday",45.378163,-75.75213,2014-12-10 08:00:00,2014-12-10 17:00:00
"72",2014-12-11,"Thursday",45.378163,-75.75213,2014-12-11 08:00:00,2014-12-11 17:00:00
"73",2014-12-12,"Friday",45.378163,-75.75213,2014-12-12 08:00:00,2014-12-12 17:00:00
"74",2014-12-13,"Saturday",45.378163,-75.75213,2014-12-13 08:00:00,2014-12-13 17:00:00
"75",2014-12-14,"Sunday",45.378163,-75.75213,2014-12-14 08:00:00,2014-12-14 17:00:00
"76",2014-12-15,"Monday",45.378163,-75.75213,2014-12-15 08:00:00,2014-12-15 17:00:00
"77",2014-12-16,"Tuesday",45.378163,-75.75213,2014-12-16 08:00:00,2014-12-16 17:00:00
"78",2014-12-17,"Wednesday",45.378163,-75.75213,2014-12-17 08:00:00,2014-12-17 17:00:00
"79",2014-12-18,"Thursday",45.378163,-75.75213,2014-12-18 08:00:00,2014-12-18 17:00:00
"80",2014-12-19,"Friday",45.378163,-75.75213,2014-12-19 08:00:00,2014-12-19 17:00:00
"81",2014-12-20,"Saturday",45.378163,-75.75213,2014-12-20 08:00:00,2014-12-20 17:00:00
"82",2014-12-21,"Sunday",45.378163,-75.75213,2014-12-21 08:00:00,2014-12-21 17:00:00
"83",2014-12-22,"Monday",45.378163,-75.75213,2014-12-22 08:00:00,2014-12-22 17:00:00
"84",2014-12-23,"Tuesday",45.378163,-75.75213,2014-12-23 08:00:00,2014-12-23 17:00:00
"85",2014-12-24,"Wednesday",45.378163,-75.75213,2014-12-24 08:00:00,2014-12-24 17:00:00
"86",2014-12-25,"Thursday",45.378163,-75.75213,2014-12-25 08:00:00,2014-12-25 17:00:00
