"","ID","Arena","Day","StartDate","EndDate","StartTime","EndTime","SessionType","Comments"
"10",10,"Minto Recreation Complex - Barrhaven","Sunday","Sunday, November 15","2016-03-31","7:00 am "," 10:00 am","Lane Swim","                      "
"19",19,"Splash Wave Pool","Sunday","Sunday, November 15","2016-03-31","7:30 am "," 8:30 am","Lane Swim","                      "
"23",23,"Deborah Anne Kirwan Pool","Sunday","Sunday, November 15","2016-03-31","8:30 am "," 9:30 am","Lane Swim","                      "
"24",24,"François Dupuis Recreation Centre","Sunday","Saturday, November 14","2016-03-31","8:30 am "," 1:00 pm","Lane Swim","                      "
"28",28,"Richcraft Recreation Center - Kanata","Sunday","Saturday, November 14","2016-03-31","8:30 am "," 1:00 pm","Lane Swim","                      "
"43",43,"Champagne Pool & Fitness Centre","Sunday","Saturday, November 14","2016-03-31","10:00 am "," 2:00 pm","Lane Swim","                      "
"45",45,"Nepean Sportsplex","Sunday","Sunday, November 15","2016-03-31","10:00 am "," 11:00 am","Preschool Swim","                      "
"46",46,"François Dupuis Recreation Centre","Sunday","Sunday, November 15","2016-03-31","10:30 am "," 11:30 am","Preschool Swim","                      "
"55",55,"Canterbury Recreation Complex","Sunday","Sunday, November 15","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"59",59,"Minto Recreation Complex - Barrhaven","Sunday","Sunday, November 15","2016-03-31","11:00 am "," 3:00 pm","Public Swim","                      "
"60",60,"Ray Friel Recreation Complex","Sunday","Sunday, November 15","2016-03-31","11:00 am "," 1:00 pm","Family Swim","                      "
"63",63,"Kanata Wave Pool","Sunday","Saturday, November 14","2016-03-31","11:30 am "," 12:55 pm","Public Swim","                      "
"64",64,"Nepean Sportsplex","Sunday","Saturday, November 14","2016-03-31","11:30 am "," 3:00 pm","Lane Swim","                      "
"70",70,"Walter Baker Sports Centre","Sunday","Saturday, November 14","2016-03-31","11:30 am "," 1:00 pm","Lane Swim","                      "
