"","Date","StartDateTime","EndDateTime","Arena","Locale","SessionType","SessionGroup","Latitude","Longitude"
"1",2016-05-13,2016-05-13 07:30:00,2016-05-13 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"2",2016-05-20,2016-05-20 07:30:00,2016-05-20 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"3",2016-05-27,2016-05-27 07:30:00,2016-05-27 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"4",2016-06-03,2016-06-03 07:30:00,2016-06-03 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"5",2016-06-10,2016-06-10 07:30:00,2016-06-10 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"6",2016-06-17,2016-06-17 07:30:00,2016-06-17 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"7",2016-06-24,2016-06-24 07:30:00,2016-06-24 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"8",2016-07-01,2016-07-01 07:30:00,2016-07-01 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"9",2016-07-08,2016-07-08 07:30:00,2016-07-08 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"10",2016-07-15,2016-07-15 07:30:00,2016-07-15 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"11",2016-07-22,2016-07-22 07:30:00,2016-07-22 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"12",2016-07-29,2016-07-29 07:30:00,2016-07-29 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"13",2016-08-05,2016-08-05 07:30:00,2016-08-05 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"14",2016-08-12,2016-08-12 07:30:00,2016-08-12 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"15",2016-08-19,2016-08-19 07:30:00,2016-08-19 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"16",2016-08-26,2016-08-26 07:30:00,2016-08-26 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"17",2016-05-10,2016-05-10 07:30:00,2016-05-10 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"18",2016-05-17,2016-05-17 07:30:00,2016-05-17 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"19",2016-05-24,2016-05-24 07:30:00,2016-05-24 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"20",2016-05-31,2016-05-31 07:30:00,2016-05-31 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"21",2016-06-07,2016-06-07 07:30:00,2016-06-07 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
"22",2016-06-14,2016-06-14 07:30:00,2016-06-14 09:00:00,"Jim Durrell Recreation Centre","Central","Pickup 18+","Hockey","45.372846","-75.6597"
