"","Date","StartDateTime","EndDateTime","Arena","Locale","SessionType","SessionGroup","Latitude","Longitude"
"1",2015-01-20,2015-01-20 10:00:00,2015-01-20 10:45:00,"Y-Ruddy Family","East","Lane","Lane",45.481451,-75.508211
"2",2015-01-20,2015-01-20 08:15:00,2015-01-20 09:00:00,"Dovercourt","West End","Hot Tub/Sauna","Sauna",45.383344,-75.752209
"3",2015-01-20,2015-01-20 05:30:00,2015-01-20 06:30:00,"Y-Taggart Family","Central","Lane","Lane",45.411486,-75.689558
"4",2015-01-20,2015-01-20 06:00:00,2015-01-20 08:00:00,"Y-Clarence Rockland","East","Lane","Lane",45.550633,-75.286126
"5",2015-01-20,2015-01-20 20:15:00,2015-01-20 22:30:00,"Y-Carlingwood","West End","Adult","General",45.37274,-75.769143
"6",2015-01-20,2015-01-20 20:00:00,2015-01-20 20:45:00,"Y-Ruddy Family","East","Lane","Lane",45.481451,-75.508211
"7",2015-01-20,2015-01-20 18:30:00,2015-01-20 20:30:00,"Y-Taggart Family","Central","Family","General",45.411486,-75.689558
"8",2015-01-20,2015-01-20 13:30:00,2015-01-20 15:00:00,"Dovercourt","West End","Hot Tub/Sauna","Sauna",45.383344,-75.752209
"9",2015-01-20,2015-01-20 09:00:00,2015-01-20 10:00:00,"Dovercourt","West End","Family","General",45.383344,-75.752209
"10",2015-01-20,2015-01-20 07:30:00,2015-01-20 09:00:00,"Y-Carlingwood","West End","Adult","General",45.37274,-75.769143
"11",2015-01-20,2015-01-20 12:00:00,2015-01-20 13:00:00,"Y-Carlingwood","West End","Lane","Lane",45.37274,-75.769143
"12",2015-01-20,2015-01-20 15:00:00,2015-01-20 17:00:00,"Y-Taggart Family","Central","Public","General",45.411486,-75.689558
"13",2015-01-20,2015-01-20 06:00:00,2015-01-20 07:30:00,"Y-Carlingwood","West End","Lane","Lane",45.37274,-75.769143
"14",2015-01-20,2015-01-20 19:00:00,2015-01-20 20:30:00,"Dovercourt","West End","Hot Tub/Sauna","Sauna",45.383344,-75.752209
"15",2015-01-20,2015-01-20 18:30:00,2015-01-20 19:30:00,"Y-Taggart Family","Central","Lane","Lane",45.411486,-75.689558
"16",2015-01-20,2015-01-20 12:00:00,2015-01-20 13:00:00,"Dovercourt","West End","Adult","General",45.383344,-75.752209
